33853, 214, 0, 0, 5894, 1261, 8078, 1836, 0, 0, 33, 11630, 0, 0, 0, 0, 0, 0, 0, 0, 2857, 471, 1284, 6, 1309, 124, 2512, 17312, 0, 0, 0, 1394, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 174, 508, 0, 0, 4, 3115, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4433, 
28555, 37, 0, 0, 30581, 695, 43, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7424, 1453, 151, 0, 1118, 515, 931, 2253, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 42, 880, 2560, 0, 0, 213, 9215, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 11623, 
7016, 197, 0, 0, 9320, 1493, 2945, 584, 0, 0, 0, 0, 0, 0, 0, 0, 35, 8, 0, 0, 12177, 5971, 12390, 1592, 6593, 1083, 1497, 23665, 0, 0, 0, 0, 0, 0, 0, 0, 3, 33, 53, 0, 9270, 1919, 363, 21, 0, 20, 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 8, 0, 1, 25, 5, 
25435, 6983, 0, 0, 279, 3046, 452, 3, 0, 0, 0, 5, 0, 0, 0, 0, 156, 3, 0, 0, 3547, 2299, 1638, 118, 7040, 345, 1003, 9122, 0, 0, 0, 536, 0, 0, 0, 0, 29, 39, 0, 0, 12239, 3451, 504, 1979, 7, 149, 1, 13656, 0, 0, 0, 0, 0, 0, 0, 0, 0, 42, 64, 0, 0, 17, 146, 3971, 
12632, 4252, 0, 0, 1268, 9370, 3032, 338, 0, 0, 181, 10524, 0, 0, 0, 0, 161, 5, 0, 0, 3748, 4819, 2979, 0, 199, 2841, 3675, 6490, 0, 0, 0, 0, 9, 3, 0, 0, 34, 165, 3, 0, 153, 13290, 5563, 2561, 0, 598, 522, 1581, 0, 0, 0, 0, 0, 42, 0, 0, 0, 107, 117, 9, 0, 138, 3245, 3650, 
30229, 105, 0, 0, 11808, 542, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 366, 2, 0, 0, 19924, 3776, 80, 0, 5511, 842, 441, 117, 0, 0, 0, 0, 3, 0, 0, 0, 57, 107, 7, 0, 3812, 1682, 2889, 2810, 0, 5, 176, 1738, 0, 0, 0, 0, 0, 0, 0, 0, 5, 190, 21, 3, 0, 7, 136, 10913, 
17701, 2673, 0, 0, 11388, 1067, 221, 0, 203, 0, 0, 0, 0, 0, 0, 0, 449, 391, 0, 0, 660, 6022, 7198, 0, 90, 19, 3612, 4026, 0, 0, 0, 226, 1, 0, 0, 0, 7, 333, 387, 0, 0, 134, 5267, 6251, 0, 0, 1, 27050, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 383, 215, 0, 0, 143, 2186, 
25638, 2619, 0, 0, 11123, 13328, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 23, 0, 0, 974, 23638, 105, 0, 0, 5525, 2880, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 141, 13, 0, 0, 9, 622, 8, 0, 0, 21, 69, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11568, 
28438, 1, 0, 0, 793, 27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6779, 6, 0, 0, 20244, 870, 0, 0, 17, 19, 3, 0, 0, 0, 0, 0, 2122, 0, 0, 0, 14139, 2094, 0, 0, 1344, 2884, 32, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5175, 732, 0, 0, 39, 1796, 166, 0, 0, 32, 303, 10249, 
41060, 176, 0, 0, 7073, 1326, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3626, 23, 0, 0, 18420, 6832, 100, 0, 545, 102, 91, 0, 0, 0, 0, 0, 1, 0, 0, 0, 661, 1236, 2, 0, 6, 525, 923, 27, 0, 0, 18, 75, 0, 0, 0, 0, 0, 2, 0, 0, 0, 202, 130, 3, 0, 0, 223, 14896, 
